Date,Close,High,Low,Open,Volume
2019-01-02,223.80596923828125,224.7273989963419,220.02190048222155,220.04873678437622,126925200
2019-01-03,218.46536254882812,222.36573144390618,217.98228176056196,222.06156390491395,144140700
2019-01-04,225.78292846679688,226.4270268245097,221.11322219847892,221.48894396544466,142628800
2019-01-07,227.56320190429688,228.967685018204,225.1567801850317,226.05135993790628,103139100
2019-01-08,229.7012481689453,230.18432891084558,227.2232719214142,229.74599353972656,102512600
2019-01-09,230.7747802734375,231.61568757213706,229.18242912704284,230.40799923460793,95006600
2019-01-10,231.58883666992188,231.8393179366992,228.56515239927478,229.24504182356054,96823900
2019-01-11,231.6782989501953,231.70513525362898,229.93385732577602,230.51532876711232,73858100
2019-01-14,230.26483154296875,231.06994789059002,229.3792062906262,229.7817508142326,70908200
2019-01-15,232.90380859375,233.21691691957597,230.63156872394273,230.64052325623595,85208300
2019-01-16,233.46739196777344,234.35301702855713,233.12744735442945,233.3331831885252,77636700
2019-01-17,235.23866271972656,236.09747886046176,232.55492370584037,232.59966906964814,96118400
2019-01-18,238.36968994140625,238.83488883956215,235.27445194397527,237.04572950918973,127900300
2019-01-22,235.14923095703125,237.11731741906,233.53899825203223,236.90262700516908,115531200
2019-01-23,235.6412811279297,236.87580568670793,233.181186544988,236.17803449701725,86030300
2019-01-24,235.76646423339844,236.34796286693012,234.45143100905162,235.46231041761553,59204100
2019-01-25,237.76141357421875,238.58443898655247,235.86490880279874,237.60932299896712,96883400
2019-01-28,235.95436096191406,236.01696079540557,234.1920377820725,235.62337082617444,85613700
2019-01-29,235.6412811279297,236.66108795882667,234.80932842106972,236.09752558671568,66136300
2019-01-30,239.3716278076172,240.21253492262588,236.3926893728271,237.15308758964215,92473700
2019-01-31,241.4739227294922,241.957003473344,239.09433714733026,239.30905486704737,104012100
2019-02-01,241.5901641845703,242.60999803104392,240.80292976983338,241.67067307238622,85782500
2019-02-04,243.28994750976562,243.35257465629314,240.96403425662496,241.6349691969302,60744800
2019-02-05,244.3097686767578,244.61392255740444,243.2183801401264,243.71934268476923,79552800
2019-02-06,243.9876708984375,244.52442420548215,243.25413625589732,244.0324162659288,58347800
2019-02-07,241.66180419921875,242.9231377133348,240.00682608227083,242.37745713067275,95482000
2019-02-08,241.95704650878906,242.0554372016688,239.5953422747042,240.4183678624528,75788900
2019-02-11,242.0911865234375,242.86946659878197,241.5633877056799,242.61005810727352,68021400
2019-02-12,245.20431518554688,245.5800233927025,243.62984608780823,243.70142775610952,72270200
2019-02-13,246.00045776367188,246.8413648479182,245.61579505290536,246.03624859502852,65277200
2019-02-14,245.4547882080078,246.581967392561,244.10396409321197,244.9180349153441,83234400
2019-02-15,248.1295166015625,248.16530742640353,247.02024673509356,247.22598255202874,97088700
2019-02-19,248.5590362548828,249.21206212427865,247.32451159710354,247.3334661324364,59120800
2019-02-20,249.05992126464844,249.51616561794017,248.02220560446585,248.5231680196707,76610800
2019-02-21,248.17430114746094,248.78260876381597,247.21709435971118,248.42478236010152,64214700
2019-02-22,249.71304321289062,249.90982457999132,248.15645564241626,248.79159971921942,78114600
2019-02-25,250.0529327392578,251.6542382053372,249.97242383431418,251.13539394000878,69030700
2019-02-26,249.87405395507812,250.75072474880014,249.49831840033238,249.70408159702777,56844100
