Date,Close,High,Low,Open,Volume
2019-01-02,105.1774673461914,105.34154898942224,103.9806257075296,104.33774371175372,9723500
2019-01-03,102.62934875488281,104.8686044088952,102.25292269746568,104.70452276619852,10594700
2019-01-04,105.7951889038086,106.89551232417625,103.51732457578241,104.18331251690253,10122800
2019-01-07,106.7121353149414,107.52290430012084,105.49599288297092,106.08476340677213,6714700
2019-01-08,107.54219818115234,108.64252166259838,107.30089904287267,107.90897758421121,8730700
2019-01-09,108.74868774414062,108.87416800184855,107.67731904144549,107.90897150312246,5931900
2019-01-10,108.87417602539062,108.9803482371841,107.61941753903064,108.09236179637814,6160100
2019-01-11,108.7293930053711,108.98999283419003,107.84141394526876,108.2757494479221,4819100
2019-01-14,108.50740051269531,108.7776543837421,107.55185793610391,107.7642023673166,6980600
2019-01-15,107.87037658691406,109.24095402346552,106.7603989983232,108.39158364670106,9800900
2019-01-16,107.0499496459961,108.11166434599808,106.9534241028336,107.5711492869753,5899900
2019-01-17,107.146484375,107.3877835424469,106.32606867845381,106.86657645709766,6392000
2019-01-18,107.1754379272461,108.03446236487301,106.97274751246665,107.96689889327986,8554700
2019-01-22,106.75074005126953,107.45533679329215,105.93032443276383,106.7700481065937,6986700
2019-01-23,107.25264739990234,107.94758275690481,106.17162457145592,107.32021086643864,6845600
2019-01-24,106.70247650146484,107.2429841874642,106.10405201777631,107.13681198287648,6716800
2019-01-25,107.22367858886719,107.61941269936764,106.80865115180343,107.5904579817925,5706900
2019-01-28,106.95343017578125,107.1271658539276,106.12336053173377,106.90517476532506,6178800
2019-01-29,107.04029846191406,107.06925318008584,106.17162009743473,106.79899932532898,5253700
2019-01-30,106.2970962524414,106.73143912991392,105.16781802597073,106.4611852668815,7853800
2019-01-31,107.63872528076172,107.65803333718819,106.18128366679734,106.26814782911872,8351600
2019-02-01,107.42638397216797,108.15028141843901,107.06925858101596,108.07306392350901,6557700
2019-02-04,107.90898132324219,108.08271700337806,106.82795849530049,107.53255524359203,7037000
2019-02-05,108.73905181884766,108.81626194983274,107.57115745986131,108.1213192239077,13619800
2019-02-06,107.53254699707031,109.95518494157044,107.2043763535959,109.88762148024703,14229000
2019-02-07,107.08855438232422,107.24298936513152,105.98823090335078,107.18507992851143,8658100
2019-02-08,107.62906646728516,107.65802118479056,106.22952708898194,106.61560717140576,6395500
2019-02-11,105.63111877441406,107.91863001467055,105.44772906308472,107.88002126681882,11086400
2019-02-12,105.39945983886719,106.97273492114198,105.35120442990409,106.37431041185071,7610200
2019-02-13,106.36465454101562,106.63491575475885,105.42842009361364,105.43806675691991,6919700
2019-02-14,106.80865478515625,107.61941636030045,105.72763198776529,106.02684056470679,6324300
2019-02-15,108.67147064208984,108.71007938583952,107.1657664551771,107.52289181196291,8197300
2019-02-19,109.5594482421875,109.81039401065607,108.9031143787614,108.98033186007372,8169600
2019-02-20,109.72354125976562,110.11926800581736,109.34711520411382,109.64632377043574,7081500
2019-02-21,110.31231689453125,110.55361603708717,108.94173953214128,109.45329253614138,9480100
2019-02-22,111.2389144897461,111.74081351024952,109.98415589268843,110.64048991264895,8734700
2019-02-25,109.63666534423828,111.76975605916378,109.51119245201052,111.59602039707508,9327700
2019-02-26,109.54981231689453,110.04206463676469,108.92243306433305,109.69459327731111,8956000
2019-02-27,108.85486602783203,109.55946275135551,108.5460034255438,109.16372863012026,7249500
2019-02-28,108.91278076171875,109.48225058467987,108.82591660241225,108.97069756512207,6716700
2019-03-01,110.04206085205078,110.4570956635756,109.50154577601003,109.50154577601003,6996900
2019-03-04,110.35092163085938,110.43778578436746,109.15407262529227,110.43778578436746,6015000
2019-03-05,110.03240966796875,110.5536167026914,109.80076455160273,110.25440812055757,5225100
2019-03-06,110.85282135009766,111.0458650767718,110.03240576236186,110.03240576236186,7352800
2019-03-07,110.04206085205078,110.90108519341477,109.52085383079647,110.85282242031397,6324000
2019-03-08,109.8490219116211,109.87797663119754,108.97069684105146,109.51120457678662,6549100
2019-03-11,110.75630950927734,110.99760865853503,110.06136678119671,110.07102080904939,6952700
2019-03-12,110.73700714111328,111.28716889853789,110.07101914280672,110.72735311340674,9920300
2019-03-13,110.11927032470703,110.85282176105783,109.76215231580005,110.84316773372203,17994500
2019-03-14,110.4957046508789,110.77560517110656,109.96484360107065,110.14823330261629,17409600
2019-03-15,110.95899200439453,111.46089832285097,109.72354162644807,110.51500248506159,14932700
2019-03-18,109.18304443359375,110.03241480919938,108.54601112899016,109.09617290848152,21769800
2019-03-19,106.17162322998047,109.7525016388914,105.97858686056306,109.01895018014739,45384400
2019-03-20,106.1619644165039,107.02098874025735,104.28948815319787,106.47082701196733,35588700
2019-03-21,104.87825775146484,106.31639850923149,104.59834987605728,106.26813573752274,27438900
2019-03-22,104.4632339477539,105.2064321087884,103.76829119964245,104.55975213746586,24133800
2019-03-25,104.03854370117188,105.27399418643245,103.58490011526963,104.7141783840907,18187500
2019-03-26,106.30675506591797,106.49979144424131,104.50183473674487,104.62731501013427,16693100
2019-03-27,106.4418716430664,107.22367847220484,105.9110179724146,106.60595328505704,10794800
2019-03-28,106.8569107055664,107.39741842491279,106.40326714231553,106.75073849442832,11748900
2019-03-29,107.16576385498047,107.71592555330099,106.54803869770356,107.6773168104881,16358800
2019-04-01,108.59426879882812,108.94174015520517,107.50359195536362,107.70628235260598,10785100
2019-04-02,108.06340789794922,109.36642180437563,108.02479915119797,109.21199418123612,9231800
2019-04-03,108.6039047241211,109.1733744767123,108.30469617166243,108.77764038513106,10534900
2019-04-04,110.75630950927734,110.86248172405998,109.09617018416597,109.29886058587854,14378400
2019-04-05,110.99759674072266,111.12306963387299,110.33160880384156,110.9686420241391,10907900
2019-04-08,110.95899200439453,111.79871563496678,110.6501294099079,110.99760074918849,11054200
2019-04-09,112.79286193847656,113.0824238298107,111.26784972333111,111.58636633102569,17340300
2019-04-10,113.08243560791016,113.92215192528313,112.23305789892434,113.48781640690854,14091100
2019-04-11,112.54191589355469,113.75806560450705,112.27166203864644,113.63259270440402,12784500
2019-04-12,125.53346252441406,126.34422410201391,121.96223818978838,123.45829580675787,65253500
2019-04-15,127.44454956054688,128.08158283609063,125.27285726206397,126.48901437496222,32773700
2019-04-16,125.37901306152344,127.53141175066412,125.05084980292291,127.16463238650526,14564300
2019-04-17,127.1646499633789,127.75342046882713,124.78061322227961,125.29216623366713,14253700
2019-04-18,127.84027099609375,128.24565175089145,126.54691124587306,127.18394445815352,11890600
2019-04-22,127.0970687866211,127.59897509329164,126.46969694908034,127.30941319606902,10197500
2019-04-23,128.7186279296875,129.5680057083965,128.03333181682322,128.74758265144055,12159300
2019-04-24,130.3980712890625,131.02544321076533,128.10089858472148,128.47732468328954,11449500
2019-04-25,132.46356201171875,134.0464835517554,130.14708176657558,130.64898802884923,16382500
2019-04-26,135.05030822753906,135.16612710814258,132.7241808572086,133.8727671822984,14167600
2019-04-29,134.45187377929688,137.41501934025734,132.8206893574686,137.24129104165604,25746100
2019-04-30,132.2029571533203,134.53873076351894,131.2956701461091,134.2781236017664,15253100
2019-05-01,131.6334991455078,133.36119434469109,131.49837222896682,132.70486781512898,8906700
2019-05-02,129.4714813232422,130.967539114205,127.77274047817251,130.66833050155893,16580400
2019-05-03,129.65484619140625,130.60073462727567,129.12398517667813,130.5138704778828,8874400
2019-05-06,130.30152893066406,130.62004554648883,127.69550129759676,127.927139034393,9955600
2019-05-07,128.79580688476562,131.2377525400057,128.13946569008164,130.6393354992248,10972700
2019-05-08,130.29190063476562,130.97718200636507,128.6703626099543,128.85375232925705,15423500
2019-05-09,128.9405975341797,131.73001484378247,128.21670015562123,130.33048285744874,15297100
2019-05-10,129.37493896484375,129.64520754811153,126.66273901823246,128.3807876974609,9858500
2019-05-13,126.7688980102539,128.04296439157295,126.00639929614617,126.92333297666755,11389900
2019-05-14,128.5641632080078,129.97335649439614,127.454193190116,128.87303313894785,12001700
2019-05-15,129.99266052246094,130.50422822866733,127.44454229331743,127.93680194531808,9734100
2019-05-16,130.7841339111328,131.6528049242473,130.11814592813735,130.58143615328305,9689400
2019-05-17,130.3401336669922,131.2474207667522,129.36529046817043,129.58728154755948,8964200
2019-05-20,129.24949645996094,129.72243342756096,128.61246308936515,129.5776598104861,8009000
2019-05-21,129.42320251464844,129.88650746497638,128.47731401459083,129.88650746497638,7050300
2019-05-22,129.19155883789062,129.5004140628702,128.74756196280316,129.16260412079035,5093700
2019-05-23,128.11053466796875,128.90200291266726,127.35768253301345,128.0912413408278,6743300
2019-05-24,128.16845703125,128.6510553575978,127.6183025976342,128.46768036488064,4570100
2019-05-28,128.00433349609375,129.37491052726392,127.97537878420283,128.57381052797882,8938400
2019-05-29,126.99091339111328,127.55071441312808,126.22839989167117,127.36733944535365,7749600
2019-05-30,127.59896850585938,128.0622586808598,126.76889896479705,127.29011329843549,5274000
2019-05-31,127.44454956054688,128.30357392505977,126.2284071753796,126.40215021767834,7420700
2019-06-03,127.8595962524414,128.32288650201113,126.91370769731486,127.42526072298656,7901400
2019-06-04,130.12782287597656,130.18573232007637,128.29394035566503,128.8054934155234,8247500
